咖啡廳名稱,敘述,評價,地址,GoogleMaps,封面,圖片1,圖片2
未央咖啡店,免費wifi · 提供插座 · 環境舒適,4.6,"No. 10, Lane 208, Siwei Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Weiyang+Coffee/@25.0195055,121.5475149,15z/data=!3m1!5s0x3442aa2dec92b191:0x43b8be25eb0b94c4!4m5!3m4!1s0x3442aa2dec922001:0xf1592a50aa99e9f9!8m2!3d25.0262375!4d121.5474209",https://lh5.googleusercontent.com/p/AF1QipM1UF5bE7pqiQITRVDac0QQL0MwMvJtsXIvAK0=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMYym6i-Su5vMllJWg0WseqO9uq92erISCCdFNq=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipM3B6uDDvx8weo0QcROpLlaOQ3zgCQ_rPTNe-ZV=w203-h203-k-no
草泥cafe,免費wifi · 單品咖啡 · 提供插座,4.9,"No. 17號, Leye St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E8%8D%89%E6%B3%A5Cafe/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442aa318d94ee09:0x5d220de168137722!8m2!3d25.0238292!4d121.5500145",https://lh5.googleusercontent.com/p/AF1QipO357Jx3Mk6S5lMyNz_jR7XkhKrUjGc80OSXXd2=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP70JbfdexHFQ9AhR69XrpAx9urIxUDdrVJ5eve=w203-h269-k-no,https://lh5.googleusercontent.com/p/AF1QipMqSR03DpI8HYdaoDGbezXmMiPMaH_PzEYMHLv7=w203-h135-k-no
半路咖啡halfway cafe,提供插座 · 和善親人 · 環境舒適,4.4,"No. 9, Alley 51, Lane 269, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Halfway+Coffee/@25.0201332,121.5294244,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a9893208829f:0xbc2c188e0a6934bc!8m2!3d25.02016!4d121.5316151",https://lh5.googleusercontent.com/p/AF1QipMD8YU4BGi7mQG90Ar5PbNsrZ0ShQJlRQh1Z8w4=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMso5_T8c4R_spLZ248bAVhQxl0l0H9v-1vO8J4=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOMI_LTGOAfyBI_2XrxC1DXMt5fpYmRUtPihuaZ=w203-h270-k-no
欒樹下書房咖啡,免費wifi · 提供插座 · 和善親人,4.3,"No. 24, Wenzhou St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Editor+Books+%26+Cafe/@25.0233238,121.5310043,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a98626ee9f21:0xc119f826725242ec!8m2!3d25.0233171!4d121.5332089",https://lh5.googleusercontent.com/p/AF1QipMG0rHTgFzuGapR9FLqXPpYF2NIcwWG5xI8dXng=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipORsZfkdPyO0euetEZwLbm9TPvAoGk22Py-jf0=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOhDJrwjrioz0w2--q9h2t7645VlfRL6-z-xKBt=w203-h114-k-no
羊毛與花 ‧ 溫州,免費wifi · 單品咖啡 · 提供插座,4.5,"No. 12號, Lane 37, Yongkang St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E7%BE%8A%E6%AF%9B%E8%88%87%E8%8A%B1+%E2%80%A7+%E6%B0%B8%E5%BA%B7+youmoutoohana+Coffee/@25.0307008,121.5277803,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a983c0edb8ff:0x5f4a25137fec69e7!8m2!3d25.0306929!4d121.5299687",https://lh5.googleusercontent.com/p/AF1QipPtjLt6aVwjMAcTIuiBzOx-nV_wmYmVNQsKwnlQ=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNeSmQtUtgbUedhVSrX-LZo6UCToOLfsisBjraf=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipON-Ca3CNYmkUpwwiBI6FNvQ3bNGZ5N_PRAH3Nl=w203-h152-k-no
城市草倉 C-tea loft,免費wifi · 提供插座 · 和善親人,4.9,"No. 4, Alley 19, Lane 283, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E5%9F%8E%E5%B8%82%E8%8D%89%E5%80%89+C-tea+loft/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442a9894a5fd855:0xeed6002b4e8142e7!8m2!3d25.0194488!4d121.5314837",https://lh5.googleusercontent.com/p/AF1QipPHa3Y6TjzlA1T4VIVhMIow45RWKwzibKhNJ8VY=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipNzcyZ4TsCSN2qluO6RM2YzdDV8ivaNYi1UOUha=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPht3qpLzPR-2kFf7HpMhVW3PP2RJVt3Fjos7pi=w203-h152-k-no
Uranium Cafe,環境舒適 · 適合工作 · 藝術氣質,4.4,"106, Taipei City, Da’an District, Lane 253, Section 1, Fuxing S Rd, 32號1樓","https://www.google.com.tw/maps/place/Uranium+Cafe/@25.0366911,121.5428742,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abd17ba55aab:0x994b55a06d2abe5a!8m2!3d25.0366863!4d121.5450629",https://lh5.googleusercontent.com/p/AF1QipMuUHxhNkLMOqeSX3QVmsPktlyGOk4iwr97f64S=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOy3l-e14JsyojdtoTJL2bU5fJ-nJwOvfzQ0fcz=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOlrRc40dZc_1reu442P85YWxdnAozgDc5cn-a9=w203-h114-k-no
小南風咖啡,單品咖啡 · 和善親人 · 精品咖啡,4.4,"No. 9號, Lane 68, Shida Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E5%B0%8F%E5%8D%97%E9%A2%A8%E6%89%8B%E6%B2%96%E5%92%96%E5%95%A1%E9%A4%A8/@25.0242359,121.5257086,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a98f870df1b9:0xeaf589bfe863bcf7!8m2!3d25.0242268!4d121.5278966",https://lh5.googleusercontent.com/p/AF1QipMMywlVV6hlMksU7DqRIZoxP6ICKDNQkKqyEAfI=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOZhR_-ywbdxo8mUuc4XKtynSEfWNVXPtFSE65A=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNN_P_B7dz5IrEk8LWWsl7Lpi-fP91DyucNjR8=w203-h270-k-no
Aura微光咖啡,免費wifi · 單品咖啡 · 提供插座,4.4,"No. 9號, Lane 269, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Aura%E5%BE%AE%E5%85%89%E5%92%96%E5%95%A1/@25.0194715,121.5280011,17z/data=!3m2!4b1!5s0x3442a98eb9e3caeb:0xab0afdb36fa1868e!4m5!3m4!1s0x3442a98eba028245:0x5fc669a84a67f8b!8m2!3d25.0194667!4d121.530576",https://lh5.googleusercontent.com/p/AF1QipP9z9YKyCj8obivLIlrZfuAq9u4gf4FC9gWcA4x=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNyml3cssZHJZk96AftoEzTW8zHojCVxyp1jK6s=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOzpt1OhSOTVCdBnOcBTwOitPRE5z-TBYZK2CQ=w203-h135-k-no
鴉埠咖啡 Yaboo,免費wifi · 單品咖啡 · 提供插座,4,"No. 26, Lane 41, Yongkang St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/YABOO+Cafe/@25.0304523,121.5277424,17z/data=!4m10!1m2!2m1!1z6bSJ5Z-g5ZKW5ZWhIFlhYm9v!3m6!1s0x3442a983dd35659f:0xfb86e58c60cd763c!8m2!3d25.0304473!4d121.5305886!15sChLptInln6DlkpbllaEgWWFib29aFiIU6bSJIOWfoCDlkpbllaEgeWFib2-SAQRjYWZl4AEA!16s%2Fg%2F1tj4wdfy",https://lh5.googleusercontent.com/p/AF1QipMVgHKs4vDd_qac7YvmfDoJSkVoTPN0ELYsnDQh=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPnjKLUvnCaNs_45Py7CPx3tDWfzN2sx-mLOo4y=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOZXRl6igYObNe0lOZ5R38zw1MEo_T2mhz20lO6=w203-h162-k-no
